name,method,seed,Significance,Coverage (expected 90.0%),Avg. Length,Coverage (expected 91.0%),Coverage (expected 92.0%),Coverage (expected 93.0%),Coverage (expected 94.0%),Coverage (expected 95.0%),Coverage (expected 96.0%),Coverage (expected 97.0%),Coverage (expected 98.0%),Coverage (expected 99.0%)
bike,CQR Net,15,0.07,,0.9986874343668298,,,93.38842975206612,,,,,,
bike,CQR Net,14,0.07,,0.970499062812327,,,92.28650137741047,,,,,,
bike,CQR Net,13,0.07,,1.1805146451290318,,,93.98530762167124,,,,,,
bike,CQR Net,12,0.07,,1.2199619933312864,,,92.19467401285584,,,,,,
bike,CQR Net,11,0.07,,0.9966266566983282,,,92.74563820018363,,,,,,
bike,CQR Net,10,0.07,,1.263458936886573,,,94.03122130394856,,,,,,
bike,CQR Net,9,0.07,,1.6468473939555188,,,93.38842975206612,,,,,,
bike,CQR Net,8,0.07,,1.133554780462379,,,92.8833792470156,,,,,,
bike,CQR Net,7,0.07,,1.1235197812239268,,,93.25068870523415,,,,,,
bike,CQR Net,6,0.07,,1.1102332456372643,,,92.3783287419651,,,,,,
bike,CQR Net,5,0.07,,0.9845531610763462,,,94.26078971533516,,,,,,
bike,CQR Net,4,0.07,,1.0198293217845669,,,92.56198347107438,,,,,,
bike,CQR Net,3,0.07,,1.2683500960132297,,,92.56198347107438,,,,,,
bike,CQR Net,2,0.07,,1.157586699390153,,,93.8475665748393,,,,,,
bike,CQR Net,1,0.07,,1.0758958847511686,,,91.82736455463728,,,,,,
bike,CQR Net,0,0.07,,0.9681226725290684,,,92.19467401285584,,,,,,
bike,CQR Net,19,0.06,,1.1270852029059315,,,,95.0872359963269,,,,,
bike,CQR Net,18,0.06,,1.2197525763663544,,,,93.8475665748393,,,,,
bike,CQR Net,17,0.06,,1.9680305724874605,,,,95.36271808999082,,,,,
bike,CQR Net,16,0.06,,1.2649376293912844,,,,93.1129476584022,,,,,
bike,CQR Net,15,0.06,,1.116122988174961,,,,94.5821854912764,,,,,
bike,CQR Net,14,0.06,,1.1376357912517832,,,,92.74563820018363,,,,,
bike,CQR Net,13,0.06,,1.2346152980513423,,,,94.8576675849403,,,,,
bike,CQR Net,12,0.06,,1.170380891606582,,,,92.97520661157024,,,,,
bike,CQR Net,11,0.06,,1.2228549063749632,,,,93.66391184573004,,,,,
bike,CQR Net,10,0.06,,1.1463719287791432,,,,93.61799816345273,,,,,
bike,CQR Net,9,0.06,,1.212610879526418,,,,94.12304866850322,,,,,
bike,CQR Net,8,0.06,,1.1409660418944636,,,,93.8475665748393,,,,,
bike,CQR Net,7,0.06,,1.0418662808414745,,,,93.1129476584022,,,,,
bike,CQR Net,6,0.06,,1.2713487069896456,,,,93.98530762167124,,,,,
bike,CQR Net,5,0.06,,1.094279064545006,,,,95.45454545454544,,,,,
bike,CQR Net,4,0.06,,1.0642010018108046,,,,94.94949494949496,,,,,
bike,CQR Net,3,0.06,,1.0649412681209225,,,,93.15886134067952,,,,,
bike,CQR Net,2,0.06,,1.2449360370030498,,,,94.26078971533516,,,,,
bike,CQR Net,1,0.06,,1.4739159745543928,,,,93.89348025711662,,,,,
bike,CQR Net,0,0.06,,1.1064937544868587,,,,93.52617079889806,,,,,
bike,CQR Net,19,0.05,,1.242486697632761,,,,,95.91368227731864,,,,
bike,CQR Net,18,0.05,,1.2641926327219133,,,,,94.811753902663,,,,
bike,CQR Net,17,0.05,,1.567973056361695,,,,,94.94949494949496,,,,
bike,CQR Net,16,0.05,,1.1295299293452838,,,,,94.99540863177228,,,,
bike,CQR Net,15,0.05,,1.3490433532631758,,,,,94.90358126721765,,,,
bike,CQR Net,14,0.05,,1.3631295408981727,,,,,95.54637281910009,,,,
bike,CQR Net,13,0.05,,1.4696117700432505,,,,,95.821854912764,,,,
bike,CQR Net,12,0.05,,1.443296466853993,,,,,94.3526170798898,,,,
bike,CQR Net,11,0.05,,1.294552369954029,,,,,94.94949494949496,,,,
bike,CQR Net,10,0.05,,1.3345592381119218,,,,,95.91368227731864,,,,
bike,CQR Net,9,0.05,,1.322400123418007,,,,,95.36271808999082,,,,
bike,CQR Net,8,0.05,,1.2081666780824716,,,,,94.21487603305783,,,,
bike,CQR Net,7,0.05,,1.2622838274219148,,,,,94.3526170798898,,,,
bike,CQR Net,6,0.05,,1.385780426251118,,,,,94.71992653810835,,,,
bike,CQR Net,5,0.05,,1.2477762760334503,,,,,94.71992653810835,,,,
bike,CQR Net,4,0.05,,1.2145853937869504,,,,,94.67401285583104,,,,
bike,CQR Net,3,0.05,,1.346752536094844,,,,,94.90358126721765,,,,
bike,CQR Net,2,0.05,,1.4749164620803068,,,,,94.99540863177228,,,,
bike,CQR Net,1,0.05,,1.2194415708538573,,,,,94.44444444444444,,,,
bike,CQR Net,0,0.05,,1.1598388921581482,,,,,94.26078971533516,,,,
bike,CQR Net,19,0.04,,1.4317022635848615,,,,,,95.40863177226814,,,
bike,CQR Net,18,0.04,,1.4637303794661487,,,,,,95.68411386593203,,,
bike,CQR Net,17,0.04,,1.5543842458493726,,,,,,96.37281910009182,,,
bike,CQR Net,16,0.04,,1.4198374539037313,,,,,,95.73002754820936,,,
bike,CQR Net,15,0.04,,1.3400547693250917,,,,,,95.59228650137742,,,
bike,CQR Net,14,0.04,,1.4259664035834974,,,,,,96.32690541781452,,,
bike,CQR Net,13,0.04,,1.4624175045115888,,,,,,96.32690541781452,,,
bike,CQR Net,12,0.04,,1.4051596216363125,,,,,,95.36271808999082,,,
bike,CQR Net,11,0.04,,1.494981450888844,,,,,,95.77594123048668,,,
bike,CQR Net,10,0.04,,3.561174733164875,,,,,,94.67401285583104,,,
bike,CQR Net,9,0.04,,1.6296354577268577,,,,,,96.09733700642792,,,
bike,CQR Net,8,0.04,,1.4835065604196955,,,,,,96.46464646464646,,,
