name,method,seed,Significance,Coverage (expected 90.0%),Avg. Length,Coverage (expected 92.5%),Coverage (expected 95.0%),Coverage (expected 97.5%)
concrete,CQR Net,14,0.075,,0.5388863811142814,92.71844660194176,,
concrete,CQR Net,13,0.075,,0.606653126915103,91.2621359223301,,
concrete,CQR Net,12,0.075,,0.5511787753660702,93.68932038834951,,
concrete,CQR Net,11,0.075,,0.5553113804424851,94.66019417475728,,
concrete,CQR Net,10,0.075,,0.5423643009610546,94.66019417475728,,
concrete,CQR Net,9,0.075,,0.5298385735492683,92.71844660194176,,
concrete,CQR Net,8,0.075,,0.4961501059022922,90.29126213592234,,
concrete,CQR Net,7,0.075,,0.5408335373673624,92.23300970873788,,
concrete,CQR Net,6,0.075,,0.6139680911036371,93.68932038834951,,
concrete,CQR Net,5,0.075,,0.5378686964005521,91.747572815534,,
concrete,CQR Net,4,0.075,,0.5521577633555653,92.23300970873788,,
concrete,CQR Net,3,0.075,,0.5141226569715055,91.747572815534,,
concrete,CQR Net,2,0.075,,0.5353858489000681,89.80582524271846,,
concrete,CQR Net,1,0.075,,0.543169116583264,90.29126213592234,,
concrete,CQR Net,0,0.075,,0.4521140707204643,85.92233009708737,,
concrete,LWA-Net,19,0.075,,0.5674598026767518,94.66019417475728,,
concrete,LWA-Net,18,0.075,,0.6351960208809492,93.68932038834951,,
concrete,LWA-Net,17,0.075,,0.5661475505788349,92.71844660194176,,
concrete,LWA-Net,16,0.075,,0.560891149185815,93.20388349514565,,
concrete,LWA-Net,15,0.075,,0.5891867605517211,93.68932038834951,,
concrete,LWA-Net,14,0.075,,0.5556877716218384,93.20388349514565,,
concrete,LWA-Net,13,0.075,,0.63982251517981,90.29126213592234,,
concrete,LWA-Net,12,0.075,,0.5628656414382666,93.20388349514565,,
concrete,LWA-Net,11,0.075,,0.5358690050186463,92.71844660194176,,
concrete,LWA-Net,10,0.075,,0.5945953065619886,96.60194174757282,,
concrete,LWA-Net,9,0.075,,0.4959348090788693,91.2621359223301,,
concrete,LWA-Net,8,0.075,,0.5150105185734416,93.20388349514565,,
concrete,LWA-Net,7,0.075,,0.5587287876501824,93.20388349514565,,
concrete,LWA-Net,6,0.075,,0.6400582499585106,92.23300970873788,,
concrete,LWA-Net,5,0.075,,0.58249565836006,93.20388349514565,,
concrete,LWA-Net,4,0.075,,0.603116670279827,92.23300970873788,,
concrete,LWA-Net,3,0.075,,0.5778137426642538,93.20388349514565,,
concrete,LWA-Net,2,0.075,,0.5665329806144955,91.747572815534,,
concrete,LWA-Net,1,0.075,,0.5468852581474387,87.86407766990291,,
concrete,LWA-Net,0,0.075,,0.547636266544606,90.77669902912622,,
concrete,CQR Net,19,0.05,,0.6463169734744192,,94.66019417475728,
concrete,CQR Net,18,0.05,,0.6825845994561621,,97.0873786407767,
concrete,CQR Net,17,0.05,,0.6084037955524852,,93.68932038834951,
concrete,CQR Net,16,0.05,,0.6331411792887646,,96.60194174757282,
concrete,CQR Net,15,0.05,,0.6511608540143782,,95.14563106796116,
concrete,CQR Net,14,0.05,,0.6002410956595129,,92.71844660194176,
concrete,CQR Net,13,0.05,,0.6664221454592585,,94.1747572815534,
concrete,CQR Net,12,0.05,,0.628318021743043,,95.63106796116504,
concrete,CQR Net,11,0.05,,0.945770156271394,,97.0873786407767,
concrete,CQR Net,10,0.05,,0.5712496298320086,,96.11650485436894,
concrete,CQR Net,9,0.05,,0.57727658777561,,93.20388349514565,
concrete,CQR Net,8,0.05,,0.5868590002861417,,91.747572815534,
concrete,CQR Net,7,0.05,,0.5766287784914947,,95.63106796116504,
concrete,CQR Net,6,0.05,,0.7249397339606748,,94.1747572815534,
concrete,CQR Net,5,0.05,,0.6308072052389673,,93.20388349514565,
concrete,CQR Net,4,0.05,,0.6311976525896382,,94.66019417475728,
concrete,CQR Net,3,0.05,,0.6405943043674659,,97.0873786407767,
concrete,CQR Net,2,0.05,,0.6727132058693367,,94.1747572815534,
concrete,CQR Net,1,0.05,,0.6034693891200625,,93.20388349514565,
concrete,CQR Net,0,0.05,,0.5521287488778239,,92.71844660194176,
concrete,LWA-Net,19,0.05,,0.6366360356072778,,94.1747572815534,
concrete,LWA-Net,18,0.05,,0.700448699801871,,94.66019417475728,
concrete,LWA-Net,17,0.05,,0.6027996757076782,,96.60194174757282,
concrete,LWA-Net,16,0.05,,0.6271326206262829,,94.1747572815534,
concrete,LWA-Net,15,0.05,,0.6666083879841184,,97.0873786407767,
concrete,LWA-Net,14,0.05,,0.695523967514339,,96.11650485436894,
concrete,LWA-Net,13,0.05,,0.7066399274954518,,95.63106796116504,
concrete,LWA-Net,12,0.05,,0.7114893001983467,,97.5728155339806,
concrete,LWA-Net,11,0.05,,0.744945071492959,,96.60194174757282,
concrete,LWA-Net,10,0.05,,0.6812742267852848,,96.60194174757282,
concrete,LWA-Net,9,0.05,,0.5696408783347862,,93.68932038834951,
concrete,LWA-Net,8,0.05,,0.6027439319103667,,93.68932038834951,
concrete,LWA-Net,7,0.05,,0.6418228733163436,,96.60194174757282,
concrete,LWA-Net,6,0.05,,0.8299060767715417,,96.11650485436894,
concrete,LWA-Net,5,0.05,,0.6422681800876427,,95.14563106796116,
concrete,LWA-Net,4,0.05,,0.6759946148083048,,94.1747572815534,
concrete,LWA-Net,3,0.05,,0.7047675143457154,,97.0873786407767,
concrete,LWA-Net,2,0.05,,0.6425087159698449,,93.68932038834951,
concrete,LWA-Net,1,0.05,,0.6630608716491356,,92.23300970873788,
concrete,LWA-Net,0,0.05,,0.6826016957898742,,94.1747572815534,
concrete,CQR Net,19,0.025,,0.8276827265192004,,,98.05825242718448
concrete,CQR Net,18,0.025,,0.8744636705705842,,,99.02912621359224
concrete,CQR Net,17,0.025,,0.7808643927417912,,,97.5728155339806
concrete,CQR Net,16,0.025,,0.8292757092242681,,,98.05825242718448
concrete,CQR Net,15,0.025,,0.9238499136804376,,,99.51456310679612
concrete,CQR Net,14,0.025,,0.8023243584462161,,,97.5728155339806
concrete,CQR Net,13,0.025,,0.7797141552188442,,,96.60194174757282
concrete,CQR Net,12,0.025,,0.8086505496096843,,,97.5728155339806
concrete,CQR Net,11,0.025,,0.8351621951871705,,,98.05825242718448
concrete,CQR Net,10,0.025,,0.6969526521861553,,,98.05825242718448
concrete,CQR Net,9,0.025,,1.1889083119995385,,,95.63106796116504
concrete,CQR Net,8,0.025,,0.7421618595502331,,,97.0873786407767
concrete,CQR Net,7,0.025,,0.7251063942619898,,,98.54368932038837
concrete,CQR Net,6,0.025,,0.988458537578004,,,98.05825242718448
