name,method,seed,Significance,Coverage (expected 10.0%),Avg. Length,Coverage (expected 7.5%),Coverage (expected 5.0%),Coverage (expected 2.5%)
bike,CQR Net,9,0.975,,1.0112406119663198,,,2.433425160697888
bike,CQR Net,10,0.975,,1.150530992269078,,,2.0202020202020203
bike,CQR Net,11,0.975,,1.137327559613875,,,2.3415977961432506
bike,CQR Net,12,0.975,,0.9045337142202152,,,2.479338842975207
bike,CQR Net,13,0.975,,0.8299599795356817,,,2.3875114784205693
bike,CQR Net,14,0.975,,0.8019391103032754,,,1.7447199265381086
bike,CQR Net,15,0.975,,1.1522812546941532,,,2.203856749311295
bike,CQR Net,16,0.975,,0.9947454283771656,,,2.066115702479339
bike,CQR Net,17,0.975,,0.8884306961073583,,,2.6629935720844813
bike,CQR Net,18,0.975,,0.821352645987431,,,3.948576675849403
bike,CQR Net,19,0.975,,0.8230619246774687,,,3.7649219467401287
bike,LWA-Net,0,0.975,,0.8260359959223601,,,3.489439853076217
bike,LWA-Net,1,0.975,,0.7583927119456922,,,3.0303030303030303
bike,LWA-Net,2,0.975,,0.8694130991225509,,,2.479338842975207
bike,LWA-Net,3,0.975,,1.035998518774551,,,2.3415977961432506
bike,LWA-Net,4,0.975,,0.6405512024986295,,,2.800734618916437
bike,LWA-Net,5,0.975,,0.8148519202204775,,,3.076216712580349
bike,LWA-Net,6,0.975,,0.7702932513230869,,,1.9742883379247016
bike,LWA-Net,7,0.975,,0.9415997490081576,,,1.9283746556473829
bike,LWA-Net,8,0.975,,0.7465550740641996,,,2.1120293847566574
bike,LWA-Net,9,0.975,,0.9175612346309384,,,2.433425160697888
bike,LWA-Net,10,0.975,,0.7918966522695167,,,2.479338842975207
bike,LWA-Net,11,0.975,,0.7980486156471942,,,2.6629935720844813
bike,LWA-Net,12,0.975,,0.774417795535071,,,2.3875114784205693
bike,LWA-Net,13,0.975,,0.9594343200367016,,,2.6629935720844813
bike,LWA-Net,14,0.975,,0.7254571723379708,,,2.066115702479339
bike,LWA-Net,15,0.975,,1.011168007734612,,,1.7447199265381086
bike,LWA-Net,16,0.975,,0.8890905886395903,,,2.2497704315886136
bike,LWA-Net,17,0.975,,0.9568897706034863,,,2.846648301193756
bike,LWA-Net,18,0.975,,0.8475321644046527,,,2.8925619834710745
bike,LWA-Net,19,0.975,,0.6616505924937263,,,3.0303030303030303
