name,method,seed,Significance,Coverage (expected 93.0%),Avg. Length,Coverage (expected 96.0%),Coverage (expected 99.0%)
blog_data,LWA-Net,2,0.07,94.01717557251908,2.747011947319025,,
blog_data,LWA-Net,1,0.07,93.25381679389312,2.392220804186268,,
blog_data,LWA-Net,0,0.07,93.0057251908397,2.0762759247382405,,
blog_data,LWA-Net,19,0.04,,5.004868442314866,96.956106870229,
blog_data,LWA-Net,18,0.04,,8.611443655343214,97.9675572519084,
blog_data,LWA-Net,17,0.04,,4.974100169726338,97.44274809160304,
blog_data,LWA-Net,16,0.04,,5.037173738061203,97.2614503816794,
blog_data,LWA-Net,15,0.04,,5.838892015917156,97.337786259542,
blog_data,LWA-Net,14,0.04,,6.141633576746205,97.62404580152672,
blog_data,LWA-Net,13,0.04,,5.132191811291544,97.3473282442748,
blog_data,LWA-Net,12,0.04,,5.306555020109616,97.31870229007632,
